abstract.id,row.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer.initial,title,author,journal,volume,number,pages,year,doi,Timestamp,FulltextReviewer,StudyType,InteractionType,Scale,SpeciesInteracting,TraitDescription,SpeciesTraitVariation,GeneticNotes,What.is.the.scale.of.the.shift,Is.there.a.shift.in.the.interaction,What.is.the.direction.of.shift,What.factors.are.driving.that.shift,What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction,Is.there.a.connection.to.the.NC3,Reviewer.notes,Reviewer.outstanding.concerns,ReviewerDecision,ReviewerDecisionReason,ReviewerDecision.checked.by,FinalDecision,FinalDecisionReason,FinalDecisionNotes
MA120,58,Intraspecific,competition-cooperation,JW,Endocrinology of sociality: Comparisons between sociable and solitary individuals within the same population of African striped mice,"Schoepf, Ivana and Schradin, Carsten",HORMONES AND BEHAVIOR,64,1,89-94,2013,10.1016/j.yhbeh.2013.04.011,1/28/2020 0:05:02,JW,Experimental,Competition-cooperation,Intra-specific (within population),African striped mouse (Rhabdomys pumilio),social flexibility (solitary vs group living and reproductive tactics),African striped mouse (Rhabdomys pumilio),NA,Individuals,Yes,Antagonistic to mutualistic,"population density (ecological), with testosterone and corticosterone as the proximate cause","Environmental change can impact group-living and physiological mechanisms, with further effects on behavior and fitness",Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA127,62,Modelling,n/a,MW,Evolution Of Helping And Harming In Heterogeneous Groups,"Rodrigues, A.M.M. and Gardner, A.",Evolution,67,8,2284-2298,2013,10.1111/evo.12110,12/04/2019 03:16,MW,Modelling/theory,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)","General model, mentions slime moulds and social wasps as potential empirical examples",fecundity,NA,"assumed to be non-genetic, non-heritable","Individuals, Populations","They show that the amount of variation in fecundity can change the potential for helping and harming behaviors. Interestingly, variation in fecundity can also increase relatedness within local neighbourhoods and thereby promote cooperation.",both directions potentially possible,"spatial structure (degree of local competition, migration rate), whether or not individuals can conditionally help high-quality or low-quality individuals",not discussed,"the conditional helping or harming can be interpreted as social niche conformance, they also mention that the mechanisms they describe can reinforce variation in fecundity because the low-quality individuals are selected to give up more of their fecundity to help others",NA,I am not sure I understood everything because the paper was not very clearly written in my opinion.,Yes,,NM,Include,,Agree with reviewer decision
MA156,71,Intraspecific,competition-cooperation,ET,Friend or foe: Inter-specific interactions and conflicts of interest within the family,"De Gasperin, O. and Kilner, R.M.",Ecological Entomology,40,6,787-795,2015,10.1111/een.12259,11/22/2019 1:13:09,ET,Experimental,Host-symbiont,Inter-specific (2 species),"Poecilochirus carabi, Nicrophorus vespilloides",The duration of the mite’s life cycle closely matches the duration of parental care of the burying beetles.,Both,Strategies are inherited.,Species,Yes,"Mutualistic to antagonistic, Antagonistic to mutualistic",Density of parasite,High densities of parasites reduce reproductive success of beetles,No,,,Yes,,NM,Include,,Agree with reviewer decision
MA157,72,Interspecific,host-symbiont,JW,From pattern to process: Species and functional diversity in fungal endophytes of Abies beshanzuensis,"Yuan, Z.-L. and Rao, L.-B. and Chen, Y.-C. and Zhang, C.-L. and Wu, Y.-G.",Fungal Biology,115,3,197-213,2011,10.1016/j.funbio.2010.11.002,1/28/2020 2:50:50,JW,Observational,Host-symbiont,Inter-specific (>2 species),Baishan fir (Abies beshanzuensis) and its endophytic fungi,Defensive traits,endophytic fungi species,Diversity in laccase genes contributes to ability to decompose needles,"Individuals, Species","Not specifically, but mentions it is possible",Mutualistic to antagonistic,"Ecological, genetic",Functional variation (and complementarity) in the fungal community may increase host fitness and optimize ecological processes and ecosystem functioning,Yes,NA,"This paper speculated that trait variation may drive a shift in the interaction between commensal to parasite, but it as not shown here",Maybe,There is no shift in the quality of the interaction,NM,Include,,"Considered that there is a lot of intraspecific variation in chemical traits, is presented in the context that this can shift between providing benefits to the host tree and being a decomposer/parasite (see Introduction re: ligninolytic enzymes)"
MA160,74,Interspecific,plant-animal,NC,Functional consequences of plant-animal interactions along the mutualism-antagonism gradient,"Rodrguez-Rodrguez, M.C. and Jordano, P. and Valido, A.",Ecology,98,5,1266-1276,2017,10.1002/ecy.1756,01/07/2020 05:46,NC,Observational,"Host-symbiont, Consumer-resource/predator-prey",Inter-specific (>2 species),"Isoplexis canariensis, mutualists and antagonists",centrality in the mating network allows more mutualist,Isoplexis canariensis,no,Individuals,yes,Mutualistic to antagonistic,distance to conspecifics,higher reproductive success via higher levels of mutualism for more central plants,yes,spatial rather than phenotypic/genetic determination of the shift,,Yes,,NM,Include,,"Agree with reviewer decision, defining the trait is tricky, but within-species variation assocaited with mutualistic-antagonistic variation is clear."
MA162,75,Interspecific,plant-animal,NC,Gender- and sequence-dependent predation within group colonizers of defended plants: a constraint on cheating among bark beetles?,"Aukema, BH and Raffa, KF",OECOLOGIA,138,2,253-258,2004,10.1007/s00442-003-1433-y,01/06/2020 10:11,NC,Experimental,"Competition-cooperation, Consumer-resource/predator-prey","Inter-specific (2 species), Intra-specific (within population)","Ips pini, Thanasimus dubius",predation reduces the effciciency of cheating,Ips pini,No,Individuals,No,Antagonistic to mutualistic,Predation,Propensity to colonize instead of follow and use provided resources,Yes,,Measures are based on survival - no behaviour/inheritance implied,Maybe,There is no evidence of trait variation,NM,Include,,"Considered trait variation in cooperative breeding strategy (searching v cheating search strategy); Predation pressure disproportionately effects cheaters so intraspecific breeding interactions become more cooperative, less exploitative. "
MA174,79,Intraspecific,competition-cooperation,BC,Helping effort in primitively eusocial wasps,"Field, J. and Cant, M.",Annales Zoologici Fennici,43,05-Jun,481-487,2006,NA,12/16/2019 6:08:25,BC,Observational,Competition-cooperation,Intra-specific (within population),"Polistes dominulus, Liostenogaster flavolineata",greater expected future fitness,"Polistes dominulus, Liostenogaster flavolineata",no,Individuals,yes,Mutualistic to antagonistic,"expected future fitness, i.e. rank order, or groups size ",,promotion of individual differences  - niche choice or niche conformance,,"no , except that they used data from a previous study",Yes,,NM,Include,,Agree with reviewer decision
MA183,83,Modelling,n/a,PT,Host-parasite dynamics lead to mixed cooperative games,"Stopka, Pavel and Johnson, Dominic D. P.",FOLIA ZOOLOGICA,61,03-Apr,233-238,2012,NA,12/12/2019 21:08,PT,Modelling/theory,Cooperation in removing parasites,"Inter-specific (2 species), Intra-specific (within population)",n/a,"Payoffs, which depend on parasite loads, efficiency of grooming and the mobility of parasites.","The host ... but it's not really that a trait varies.  It's more that all individuals use the same evolved settings, but then have different parasite loads, so may behave differently -- and this could lead to cooperation.",No,Not really; just about whether to cooperate or not,"No, just cooperation really (although they address it in terms of the Prisoner's Dilemma)",,Ecological: parasite load changes the payoffs..,Alterations in parasite load,I don't think so.,,"There's not really antagonism, it's more about whether to cooperate or not.  The difference in 'trait' comes about not through inherent differences in the individuals, but thier parasite loads.  The authors don't seem to know the literature well and pitch things a bit weirdly (e.g., having individuals cooperate with 50% probability in the first interaction, rather than that level evolving).  So, it's not great!",Maybe,See answer to Q16,NM,Include,,"Considered that variation in grooming behaviour influences the level of cooperation, where cooperation is discussed in the context of Prisoner's Dilemma (self-interested competition) (note: issues with the study may be addressed in the review)"
MA186,85,Modelling,n/a,KJB,"Hot spots, cold spots, and the geographic mosaic theory of coevolution","Gomulkiewicz, R and Thompson, JN and Holt, RD and Nuismer, SL and Hochberg, ME",AMERICAN NATURALIST,156,2,156-174,2000,10.1086/303382,02/04/2020 03:22,KJB,Modelling/theory,Mutualism-antagonism,Inter-specific (2 species),NA,Two discrete types in each species,Both,Perfect heritability,Populations,"The types per se remain constant through time, but their relative frequency changes, thereby changing the overall quality of the interaction on the population level.","depends, potentially cyclical. However, qualitatively the interaction remains of the same type everywhere, but the percentage of individuals participating in the interaction varies over time.","Patch connectedness, degree of mutualism vs. antagonism in the parameters",NA,Maintenance of two types over time is discussed.,,Paper requires a few steps of interpretation before it is applicable.,Maybe,"There is no shift in the quality of the interaction, It is not the interaction itself that changes over time, but rather the frequency of participants. That by itself could change the interaction on the scale between neutral and either antagonistic or mutualistic.",NM,Include,,"Following reviewer reasoning, changing in frequencies of participants will have a net change on the interaction at the population level"
MA200,90,Intraspecific,male-female,CF,Individual variation and the resolution of conflict over parental care in penduline tits,"van Dijk, R.E. and Szkely, T. and Komdeur, J. and Pogny, A. and Fawcett, T.W. and Weissing, F.J.",Proceedings of the Royal Society B: Biological Sciences,279,1735,1927-1936,2012,10.1098/rspb.2011.2297,3/26/2020 22:03:46,CF,"Observational, combined with mathematical modelling of the data",Male-female,Intra-specific (within population),"Penduline tit, Remiz pendulinus","behaviour, condition, attractiveness",R. pendulinus,No,Individuals,kind of,can take on both directions,"mostly social, but also ecological",none as far as I can tell,Yes it seems,this is about parental care and the individuals decision to desert or care for a clutch of eggs,NA,Yes,,NM,Include,,Agree with reviewer decision
MA201,91,Modelling,n/a,PT,Individual variation behind the evolution of cooperation,"Barta, Zoltan",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,371,1687,NA,2016,10.1098/rstb.2015.0087,12/13/2019 5:59:19,PT,Review,"Competition-cooperation, Review of different routes to evolution of cooperation",Intra-specific (within population),n/a,"Various: variation in potential to remain in the interaction, variation in state, parental care decisions (alternate vs sequential), uncertainty over partner's state, etc.",The focal species,No.,"Individuals, Populations",Not really -- it's about the cooperations spectrum rather than antagonism per se.,"Review mainly of theory, so both ways (but just wrt cooperation)","ecological, abiotic, social, mutational",It's focused on cooperation rather than identifying other (ecological) impacts,To some degree,,Mainly just the concern that it's about cooperation; not about antagonism,Maybe,Not about the antagonism part; just about evol of cooperation.,NM,Include,,"Considering it sufficent to be referring to cooperation as evoluing in the context of competition based natural selection, to be considered on the competition-cooperation continuum"
MA204,93,Modelling,n/a,KJB,Inducible defence and the social evolution of herd immunity,"Frank, SA",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,265,1408,1911-1913,1998,10.1098/rspb.1998.0519,02/04/2020 02:05,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,Relatedness,Focal species,"No, but relatedness is a parameter in the model.","Individuals, Populations","Yes, but it's a shift between populations w.r.t. their parameter values, not within one population over time",Antagonistic to mutualistic,"Relatedness. Furthermore, in a final model, variable resources lead to more individual  variation in defence allocation",NA,"Especially in the variable resource set up there are differences in vigour, leading to differential inversment in induction.",The model is very similar to Frank (1996) [MA286].,"The connection to our review is hard to see, but does seem to be present (requires interpretation though).",Yes,,NM,Include,,Agree with reviewer decision
MA205,94,Modelling,n/a,MW,Information use and resource competition: An integrative framework,"Lee, A.E.G. and Ounsley, J.P. and Coulson, T. and Marcus Rowcliffe, J. and Cowlishaw, G.",Proceedings of the Royal Society B: Biological Sciences,283,1825,NA,2016,10.1098/rspb.2015.2550,11/29/2019 20:55:47,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),,competitive dominance,,"Not relevant for this model, since a short time scale is considered.","Individuals, Populations","Yes, in the sense that there are strong shifts in the frequency of scroungers vs. producers.","Mutualistic to antagonistic, Antagonistic to mutualistic",Anything that would affect the monopolizability of resource patches. Resource scarcity and rate of depletion are also important factors.,"They discuss consequences for population dynamics. If more individuals produce, the total resource discovery in the population increases and populations may grow faster, whereas scrounging may reduce population growth rates.",Interesting aspect with regard to maintenance of trait variation: variation in competitive ability also influences the maintenance of individual differences in the producer-scrounger behaviour.,"The impact of variation in competitive dominance is determined by the monopolizability parameter c. A change in this parameter can strongly change the proportion of scroungers in the population (see Figs. 1 and 2). For example, strong differences in competitive ability can make scrounging unattractive for most individuals because the most competitive ones would take most of the resources.","While scrounging is antagonistic, producing may not be strictly mutualistic. But I think it is sufficiently neutral/positive to make this an interesting paper to include.",Yes,,NM,Include,,Agree with reviewer decision
MA215,99,Intraspecific,male-female,CF,Intra- and Intersexual Conflicts and Cooperation in the Evolution of Mating Strategies: Lessons Learnt From Ungulates,"Bro-Jrgensen, J.",Evolutionary Biology,38,1,28-41,2011,10.1007/s11692-010-9105-4,03/03/2020 20:36,MW,Review,"Male-female, Competition-cooperation",Intra-specific (within population),Focus on various ungulate species,"Discusses various traits, but most relevant is male competitive ability and attractiveness ",ungulates,"Not much discussed, but mentions good-genes benefits of female mate choice.","Individuals, Populations","Yes, discusses cases where male-female, male-male, or female-female interactions are competitive or cooperative.",Depends,"e.g. resource dispersion, predation risk",NA,"Relation to variation in mating strategies within species, social niches.","Important insights: ""Variation in male competitive ability promotes female choosiness, which can enhance sexual conflicts with non-preferred males but promote cooperation with preferred males."" Formation of leks represents cooperation within and between sexes. The shift between conflict and cooperation is mostly between individuals, but one can also argue that the evolution of lekking represents a shift of the whole population.",NA,Yes,,NM,Include,,Agree with reviewer decision
MA217,100,Modelling,n/a,KJB,Intra-group relatedness affects parental and helper investment rules in offspring care,"Savage, J.L. and Russell, A.F. and Johnstone, R.A.",Behavioral Ecology and Sociobiology,67,11,1855-1865,2013,10.1007/s00265-013-1595-5,2/27/2020 2:21:23,KJB,Modelling/theory,Cooperative breeding,Intra-specific (within population),NA,Investment in offspring rearing,NA,No (but relatedness between individuals is considered as a factor affecting optimal investment),Individuals,"Somewhat, it shows different degrees of helper investment in offspring rearing.",Depends on what direction relatedness moves,social,Total number of offspring produced,"Somewhat, dominant and helpers fulfill different roles in the group. Also, individuals are expected to invest more or less depending on their relatedness (and the variation in relatedness in the group)",No,No,Maybe,There is no evidence of trait variation,NM,Include,,"Considering the degree of relatedness as the level of genetic (and phenotypic) variation within a group, in the context of cooperation-conflict in group breeding context"
MA224,104,Interspecific,host-symbiont,JK,Intraspecific variation in indirect plant-soil feedbacks influences a wetland plant invasion,"Allen, Warwick J. and Meyerson, Laura A. and Flick, Andrew J. and Cronin, James T.",ECOLOGY,99,6,1430-1440,2018,10.1002/ecy.2344,2/26/2020 8:20:01,JK,Experimental,Competition-cooperation,Inter-specific (>2 species),"Phragmites australis, Spartina alterniflora, soil biota","P. australis lineages (invasive, native)",P. australis,P. australis lineages differ genetically,Populations,yes,Antagonistic to mutualistic,soil biota,invasion success,potential niche construction via soil biota,complex interaction of two plant species mediated via soil,,Yes,,NM,Include,,Agree with reviewer decision
MA228,106,Intraspecific,competition-cooperation,NL,Large-scale regional variation in cooperation and conflict among queens of the desert ant Messor pergandei,"Helms, K.R. and Helms Cahan, S.",Animal Behaviour,84,3,499-507,2012,10.1016/j.anbehav.2012.05.019,02/02/2020 21:48,NL,"Observational, Experimental",Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)",Messor pergandei,"polygyny vs monogyny, behavioural phenotype, geographic variation, ",Messor pergandei,yes. Genetic differences correlate with geographic differences,Populations,"yes, queens from polygynous colonies fought less in an experimental setup than queens from  monogynous colonies  ",Mutualistic to antagonistic,"genetic, geographic ","homogeneity within colony, adaptation to environment, gene flow,natural selection","yes, niche variation, but on population-level rather that individual level",,no,Yes,,NM,Include,,Agree with reviewer decision
MA236,110,Intraspecific,male-female,JW,Male reproductive skew is higher in bonobos than chimpanzees,"Surbeck, M. and Langergraber, K.E. and Fruth, B. and Vigilant, L. and Hohmann, G.",Current Biology,27,13,R640-R641,2017,10.1016/j.cub.2017.05.039,1/28/2020 23:02:25,JW,Observational,Male-female,Intra-specific (within population),Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes),reproductive skew,Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes),"No, but the authors make the argument that reproductive skew is species-specific",Populations,Yes,"Mutualistic to antagonistic, Depending on the order of the species considered, bonobos to chimps",social,evolution of social and mating systems,Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA245,112,Modelling,n/a,PT,Modelling the co-evolution of indirect genetic effects and inherited variability,"Marjanovic, Jovana and Mulder, Han A. and Ronnegard, Lars and Bijma, Piter",HEREDITY,121,6,631-647,2018,10.1038/s41437-018-0068-z,01/08/2020 09:57,PT,Modelling/theory,Competition-cooperation,Intra-specific (within population),N/A,Variability influences cooperation level (which is an evolving genetic trait),N/A,"Not really, it's all theory (though mentions speices occasionally to keep readers interested).","Individuals, Populations","Yes.  Though it's sort of interesting as the mutualism (or cooperation) level is set genetically for an individual and responds to surroundings, but will also evolve over time (which is a different type of 'shift' in the interaction over time).",Depends on what's happening with variability,Social (level of variability feeds back to influence success of a type),"The variability in the population (e.g., variation in growth rates) and the level of cooperation within it.","Yes, relates to niches.",,"No, I think it's ok to include in the review.",Yes,,NM,Include,,Agree with reviewer decision
MA246,113,Intraspecific,competition-cooperation,UE,Models of density-dependent genic selection and a new rock-paper-scissors social system,"Sinervo, Barry and Heulin, Benoit and Surget-Groba, Yann and Clobert, Jean and Miles, Donald B. and Corl, Ammon and Chaine, Alexis and Davis, Alison",AMERICAN NATURALIST,170,5,663-680,2007,10.1086/522092,02/07/2020 07:53,UE,"Observational, Experimental, Modelling/theory, Review","Male-female, Competition-cooperation",Intra-specific (within population),"Lacerta vivipara, and genus Uta","3 alleles (o,y, b)","Lacerta vivipara, and genus Uta","yes, three alleles, single locus, but also three recognition genes which are physically not linked (""coupled by correlational selection into a social supergene"")",Individuals,"yes, the different alleles are coupled to different behaviours, one is cooperative, the others are not","cyclic (rock, paper, scissors)",negative frequency depenent selection,ever changing frequencies of a particular morph (but stable cycles),"yes, different genes and different behavioural (social) niches",,it is cyclic- very cool,Yes,,NM,Include,,Agree with reviewer decision
MA263,116,Intraspecific,competition-cooperation,UE,On the reorganization of fitness during evolutionary transitions in individuality,"Michod, RE and Nedelcu, AM",INTEGRATIVE AND COMPARATIVE BIOLOGY,43,1,64-73,2003,10.1093/icb/43.1.64,02/06/2020 09:11,UE,Review,Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population)","e.g. origin of eukaryotic cell; green algae group, Volvocales (e.g. Volvox)",I am not sure,predessesors of eukayotic cells,no,"Individuals, I am not sure","""even if the groups initially form via antagonistic interactions, as may have been the case during the origin of the eukaryotic cell (e.g., (Maynard Smith and Szathma´ry, 1995; Michod and Nedelcu, 2003)""",Antagonistic to mutualistic,I do not know,"creating og higher order units, e.g. eukaryots, or multicellularity (or even higher units)",Shift from antagonism to cooperation at the origin from Eukaryots,,no clear trait,Yes,,NM,Include,,Agree with reviewer decision
MA265,118,Interspecific,host-symbiont,RR,"Origins, Evolution, and Breakdown of Bacterial Symbiosis","Sachs, J.L.",Encyclopedia of Biodiversity: Second Edition,NA,NA,637-644,2013,10.1016/B978-0-12-384719-5.00382-8,03/02/2020 06:51,RR,Review,Host-symbiont,Inter-specific (2 species),NA,NA,NA,NA,NA,"No, it just states a hypothesis about origins of bacterial mutualisims that mutualists would have come about from parasitic ancestors that have evolved to be less harmful over time to the point that beneficial interactions could evolve with hosts and that this could occur with the evolutionary shifts from horizontal to vertical transmissions. But it is not well tested and proved by the kind of analysis in the review because of sparse sampling size. also there is very little evidence to support the idea that cheaters evolve within bacterial mutualist populations and drive transitions from mutualism to parasitism in the context of evolutionary breakdown of mutualisms over time.",hypotheses are mentioned about transitions in both directions but not backed up with enough evidence or proofs,it is hypothesized that evolutionary shift from horizontal to vertical tranmissions can lead to evolution of mutualists fro parasitic relations (not properly proved) . Also it is hypothesized that Evolution of cheaters could lead to mutualism breakdown by transition from mutualism to parasitism but no enough evidence.,NA,NA,No,No,Maybe,"There is no evidence of trait variation, only hypotheses are given without enough evidences",NM,Include,,"Considering the discussion of cheater v cooperative types to represent trait variation, and the mechanisms controling quality of the interaction check with MW to be relevant to m-a shifts (under the section 'The Evolutionary Maintenance of Bacterial Mutualism')"
MA267,119,Interspecific,competition-cooperation,CM,Parabiotic associations between tropical ants: Equal partnership or parasitic exploitation?,"Menzel, F. and Blthgen, N.",Journal of Animal Ecology,79,1,71-81,2010,10.1111/j.1365-2656.2009.01628.x,12/12/2019 00:01,CM,Experimental,Competition-cooperation,Inter-specific (2 species),Crematogaster modiglianii and Camponotus rufifemur (ant species),"nest initiation, foraging, trail.following, nest defence",both ant species,NA,nests as entities,yes,Mutualistic to antagonistic,Involvement of epiphyte (Poikilospermum cordifolium),foraging niches in parabiotic nests,different trophic niches in species interactions,NA,"somehow complex, a third ant species and a plant are also invloved in the interactions; I focused on the two main ant players",Yes,,NM,Include,,Agree with reviewer decision
MA270,121,Interspecific,host-symbiont,JW,"Parasitism, personality and cognition in fish","Barber, I. and Mora, A.B. and Payne, E.M. and Weinersmith, K.L. and Sih, A.",Behavioural Processes,141,NA,205-219,2017,10.1016/j.beproc.2016.11.012,1/29/2020 3:03:30,JW,Review,Host-symbiont,Inter-specific (>2 species),Teleost fish and many types of parasites,Behavioral variation,Hosts,,Individuals,Yes,Infection susceptibility (antagonistic),"ecological, social",Parasitism may effect the ecology and evolution of behavior,Yes,NA,No,Yes,,NM,Include,,"Agree with reviewer decision, review covers individual variation in behavioural traits that influence intraspecific social interactions and their (cooperative-competitive balance)"
MA271,122,Intraspecific,parent-offspring,CF,Parental care: Adjustments to conflict and cooperation,"Trillmich, F.",Animal Behaviour: Evolution and Mechanisms,NA,NA,267-298,2010,10.1007/978-3-642-02624-9_10,3/28/2020 21:40:53,CF,Review,Male-female,Intra-specific (within population),Review of parental care in mostly mammals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was actually a chapter, so I only had access to the first two pages. It seems the chapter was concered with the shift in cooperation and conflict though in parental care. I guess we could ask Fritz Trillmich for a copy of the chapter, but hard to say how much individuality there is in that chapter as it sounded like a species-level comparison to me. ",Maybe,Full-text not accessible/not in English or German,NM,Include,,"Fulltext located, chapter addresses within-species variation in trait-state that shift male-female and parent offspring interactions"
MA284,128,Modelling,n/a,KJB,Plant-animal mutualism in biological markets: Evolutionary and ecological dynamics driven by non-heritable phenotypic variance,"Song, Zhiyuan and Feldman, Marcus W.",THEORETICAL POPULATION BIOLOGY,88,NA,20-30,2013,10.1016/j.tpb.2013.06.002,2/15/2020 6:34:15,KJB,Modelling/theory,Mutualism (e.g. plant-pollinator),Inter-specific (2 species),NA,animal choosiness and plant reward offer,Mainly plant reward offer (this is the trait variation that drives the effect),"Focus is on non-heritable variation (this is driving the shift, although there are also genotypic components to the trait value)",Species,Yes,Antagonistic to mutualistic,"Biological. Trait variation in reward system in plants, requires animals to be more choosy w.r.t. the plant the visit, which then leads to the plants evolving higher rewards (more mutualistic)",Population sizes of the species are also affected by the trait variation.,"Somewhat, although separate niches do not develop.","Reminds me a bit of the Foster & Kokko (2006) paper, similar mechanisms are being described",No,Yes,,NM,Include,,Agree with reviewer decision
MA286,129,Modelling,n/a,KJB,Policing and group cohesion when resources vary,"Frank, SA",ANIMAL BEHAVIOUR,52,6,1163-1169,1996,10.1006/anbe.1996.0263,02/04/2020 00:47,KJB,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,Degree of policing,NA,"No, but relatedness between individuals is taken as a covariate to explain the observed patterns.",Individuals,"Yes. (Particularly for group that have low relatedness, policing leads to less competition)",Antagonistic to mutualistic,"Trade-off between group productivity and the cost of policing, mediated by kinselection (relatedness)",NA,"Yes, particularly in the case with fluctuating resources, different individuals are expected to have different strategies.",,"The paper uses different terminology, so it was hard to determine whether these processes are really relevant.",Yes,,NM,Include,,Agree with reviewer decision
MA287,130,Intraspecific,competition-cooperation,NL,Policing and punishment across the domains of social evolution,"Singh, M. and Boomsma, J.J.",Oikos,124,8,971-982,2015,10.1111/oik.02064,02/11/2020 02:34,NL,Review,Competition-cooperation,Intra-specific (within population),"many (eusocial insects, primates, fish, etc.) , but special glance on eusocial hymenoptera","behavioural phenotype (punishment, oophagy)",e.g. hymenoptera (Harpagoxenus sublaevis),relatedness,"Individuals, Caste",yes.1. punishment for the great good is dependent on the individual relatedness of sterile workers to the queen 2. Drone-producing workers should only eat each others eggs when the queen has little coecive power,Mutualistic to antagonistic,"relatedness, Behaviour of the queen","Benefits of the greater good (e.g. reduced reproductive conflict, increasing help)","maybe, but eusociality is a special case I guess, because all members of one caste share the same interests",,"mutualism is not mentioned, but plays a role in eusociality",Maybe,,NM,Include,,"Following reviewer reasoning, considering individuals in eusocial populations to show variation in selfishness-cooperation in interactions with their community"
MA301,136,Intraspecific,competition-cooperation,NL,Reconciling with Valuable Partners by Longtailed Macaques,"Cords, M. and Thurnheer, S.",Ethology,93,4,315-325,1993,10.1111/j.1439-0310.1993.tb01212.x,02/08/2020 03:51,NL,NA,NA,"Intra-specific (within population), NA",Macaca fascicularis,,Macaca fascicularis,NA,NA,NA,NA,NA,NA,NA,No full text available,NA,Maybe,Full-text not accessible/not in English or German,NM,Include,,"Fulltext located, study meets criteria for inclusion (trait variation related to variation in 'value' to conspecifics, individuals more likely to reconcile to form cooperative relationships with higher value individuals following aggressive competitive interactions)"
MA310,138,Interspecific,host-symbiont,RR,Rethinking Mutualism Stability: Cheaters and the Evolution of Sanctions,"Frederickson, Megan E.",QUARTERLY REVIEW OF BIOLOGY,88,4,269-295,2013,10.1086/673757,3/14/2020 3:28:06,RR,Review,Host-symbiont,Inter-specific (2 species),"Yucca-yucca moth, fig-figwasps and legume-rhizobium mutualism",NA,"NA, It broadly discuss that host plants impose selection for cooperative traits but doesnot discuss about variation in these particular traits",NA,NA,"no shift in mutualism- antagonism but says about cheaters in these mutualisms and if cheaters and sanctions coevolve in these mutualisms , but very little evidence for this",NA,NA,NA,NA,no,no,Maybe,"There is no evidence of trait variation, There is no shift in the quality of the interaction, paper tries to see if cheaters and sanctions coevolve in mutualisms",NM,Include,,"Considering their dicussion of the role of cheaters and cooperators in fig-wasps, and the review of mechanisms that control the precense of cheating phenotypes to be relevant to shifts along the m-a continuum"
MA319,141,Intraspecific,male-female,JW,Sexual conflict predicts morphology and behavior in two species of penduline tits,"Van Dijk, R.E. and Pogny, . and Komdeur, J. and Lloyd, P. and Szkely, T.",BMC Evolutionary Biology,10,1,NA,2010,10.1186/1471-2148-10-107,1/29/2020 18:14:43,JW,Observational,Male-female,Intra-specific (within population),"Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)",parental care (sexual conflict over care),"Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)","The paper compares the trait across and within species, implying there is a genetic basis to the trait.","Individuals, Species",Yes,"Mutualistic to antagonistic, This question is confusing and context-dependent","Ecological, social","speciation, breeding systems, and the evolution of behavior and morphology",Yes,NA,No,Yes,,NM,Include,,Agree with reviewer decision
MA320,142,Intraspecific,male-female,BC,"Sexual conflict, ecology, and breeding systems in shorebirds","Szkely, T. and Thomas, G.H. and Cuthill, I.C.",BioScience,56,10,801-808,2006,10.1641/0006-3568(2006)56[801:SCEABS]2.0.CO;2,12/17/2019 15:34:06,BC,"Experimental, Review",Male-female,Intra-specific (within population),,brooding / care of young,Kentish plover,no,Individuals,not within an individual,,adult sex ratio,possibility to remate,"yes niche choice, conformance ",it is a review summarizing multiple papers of the authors,it is not clear whether the trait varies among individuals only or within an individual,Maybe,"There is no shift in the quality of the interaction, as mentioned above not clear whether there is a trait shift within an individual",NM,Include,,"Considering the 'ability to find a mate' as the trait that varies (conspicuously between males and females here), that shifts the level of cooperation-conflict on the individuals within a pair"
MA321,143,Intraspecific,male-female,CF,Sexual cooperation relies on food controlled by females in agromyzid flies,"Ge, J. and Wei, J. and Tao, Y. and Kang, L.",Animal Behaviour,149,NA,55-63,2019,10.1016/j.anbehav.2019.01.001,3/24/2020 20:33:57,CF,Experimental,Male-female,Intra-specific (within population),"pea leafminer, Liriomyza huidobrensis",food availability,pea leafminer,no,Individuals,"potentially, the antagonism is not cleary defined here","Antagonistic to mutualistic, can actually potentially go in both direction, depending on starvation status of males","abiotic, food availability, but this is dependent on female behaviour, so partly also social","not mentioned but these leafminers feed by puncturing bean plants, so potential ecological impact","not clear, I would say barely",,"I think the individual level is not strictly carved out. They created starved and non-starved male groups, if that is enought, then maybe the individuality criterium is covered",Yes,,NM,Include,,Agree with reviewer decision
