row.id,abstract.id,TaskforceAllocation,FulltextTopicIdentifier,FulltextReviewer,title,author,journal,volume,number,pages,year,doi,,,,,,
145,MA331,Intraspecific,male-female,CF,Social cohesion in yellow-bellied marmots is established through age and kin structuring,"Wey, Tina W. and Blumstein, Daniel T.",ANIMAL BEHAVIOUR,79,6,1343-1352,2010,10.1016/j.anbehav.2010.03.008,,,,,,
174,MA384,Intraspecific,competition-cooperation,CF,"The origins of consistent individual differences in cooperation in wild banded mongooses, Mungos mungo","Sanderson, Jennifer L. and Stott, Iain and Young, Andrew J. and Vitikainen, Emma I. K. and Hodge, Sarah J. and Cant, Michael A.",ANIMAL BEHAVIOUR,107,NA,193-200,2015,10.1016/j.anbehav.2015.06.022,,,,,,
180,MA395,Intraspecific,male-female,CF,Transitivity and structural balance in marmot social networks,"Wey, Tina W. and Jordan, Ferenc and Blumstein, Daniel T.",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,73,6,NA,2019,10.1007/s00265-019-2699-3,,,,,,
184,MA401,Intraspecific,competition-cooperation,CF,Variable ecological conditions promote male helping by changing banded mongoose group composition,"Marshall, Harry H. and Sanderson, Jennifer L. and Mwanghuya, Francis and Businge, Robert and Kyabulima, Solomon and Hares, Michelle C. and Inzani, Emma and Kalema-Zikusoka, Gladys and Mwesige, Kenneth and Thompson, Faye J. and Vitikainen, Emma I. K. and Cant, Michael A.",BEHAVIORAL ECOLOGY,27,4,978-987,2016,10.1093/beheco/arw006,,,,,,
1,MA2,Interspecific,plant-animal,CM,A common framework for identifying linkage rules across different types of interactions,"Bartomeus, Ignasi and Gravel, Dominique and Tylianakis, Jason M. and Aizen, Marcelo A. and Dickie, Ian A. and Bernard-Verdier, Maud",FUNCTIONAL ECOLOGY,30,12,1894-1903,2016,10.1111/1365-2435.12666,,,,,,
9,MA18,Interspecific,predator-prey,CM,Antagonistic evolution in an aposematic predator-prey signaling system,"Speed, Michael P. and Franks, Daniel W.",EVOLUTION,68,10,2996-3007,2014,10.1111/evo.12498,,,,,,
19,MA38,Interspecific,competition-cooperation,CM,Can cleanerfish overcome temptation? A selective role for dopamine influence on cooperative-based decision making,"Soares, Marta C. and Cardoso, Sonia C. and Malato, Joao T. and Messias, Joao P. M.",PHYSIOLOGY \& BEHAVIOR,169,NA,124-129,2017,10.1016/j.physbeh.2016.11.028,,,,,,
24,MA49,Interspecific,plant-animal,CM,Codivergence and multiple host species use by fig wasp populations of the Ficus pollination mutualism,"McLeish, Michael J. and van Noort, Simon",BMC EVOLUTIONARY BIOLOGY,12,NA,NA,2012,10.1186/1471-2148-12-1,,,,,,
27,MA60,Interspecific,plant-animal,CM,Competing for seed dispersal: evidence for the role of avian seed hoarders in mediating apparent predation among oaks,"Pesendorfer, Mario B. and Koenig, Walter D.",FUNCTIONAL ECOLOGY,31,3,622-631,2017,10.1111/1365-2435.12770,,,,,,
44,MA92,Interspecific,plant-animal,CM,Direct and indirect effects of pollinators and seed predators to selection on plant and floral traits,"Cariveau, D and Irwin, RE and Brody, AK and Garcia-Mayeya, LS and von der Ohe, A",OIKOS,104,1,15-26,2004,10.1111/j.0030-1299.2004.12641.x,,,,,,
46,MA99,Interspecific,plant-animal,CM,Do seed-dispersing birds exert selection on optimal plant trait combinations? Correlated phenotypic selection on the fruit and seed size of hawthorn (Crataegus monogyna),"Sobral, Mar and Larrinaga, Asier R. and Guitian, Jose",EVOLUTIONARY ECOLOGY,24,"6, SI",1277-1290,2010,10.1007/s10682-010-9380-7,,,,,,
